qid,wiki_id,name,description,url
Q4781276,35005459,List of Apple Inc. media events,"Apple Inc. announces new products, product redesigns and upgrades through press conferences that garner a significant following in traditional and online media.",https://en.wikipedia.org/wiki/List_of_Apple_Inc._media_events
Q188426,26552,Roy Orbison,"Roy Kelton Orbison (April 23, 1936 – December 6, 1988) was an American singer, songwriter, and musician known for his impassioned singing style, complex song structures, and dark, emotional ballads.",https://en.wikipedia.org/wiki/Roy_Orbison
Q2873320,47526847,Not Wanted,"Not Wanted is a 1949 American drama film directed by Elmer Clifton and Ida Lupino and starring Sally Forrest, Keefe Brasselle and Leo Penn.The film's sets were designed by the art director Charles D. Hall.",https://en.wikipedia.org/wiki/Not_Wanted
Q13220193,39385804,BlackBerry Q5,"The BlackBerry Q5 is the third BlackBerry 10 smartphone, unveiled at the BlackBerry Live 2013 Keynote on May 14, 2013.",https://en.wikipedia.org/wiki/BlackBerry_Q5
Q1192838,53056,Ministry of Internal Affairs (Russia),"The Ministry of Internal Affairs of the Russian Federation (MIA of Russia, Russian: Министерство внутренних дел, МВД, Ministerstvo vnutrennikh del, MVD) is the interior ministry of Russia.",https://en.wikipedia.org/wiki/Ministry_of_Internal_Affairs_(Russia)
Q4294295,31705156,Ministry of Interior (Ghana),"The Ministry of the Interior is a ministry of the government of Ghana mandated to ensure internal security, as well as the maintenance of law and order in the country.",https://en.wikipedia.org/wiki/Ministry_of_Interior_(Ghana)
Q6972307,31707740,National Disaster Management Organization,The National Disaster Management Organisation (NADMO) is the government agency that is responsible for the management of disasters as well as other emergencies in Ghana.,https://en.wikipedia.org/wiki/National_Disaster_Management_Organization
Q5295,21306150,Random-access memory,"Random-access memory (RAM ) is a form of computer memory that can be read and changed in any order, typically used to store working data and machine code.",https://en.wikipedia.org/wiki/Random-access_memory
Q25393814,1254965,Maroon,"Maroon (US/UK  mə-ROON, Australia  mə-ROHN) is a dark brownish red or dark reddish color that takes its name from the French word marron, or chestnut.",https://en.wikipedia.org/wiki/Maroon
Q600912,2383556,"Meron, Israel","Meron (Hebrew: מֵירוֹן‎, Meron) is a town in northern Israel.","https://en.wikipedia.org/wiki/Meron,_Israel"
Q540520,6815192,Mount Meron,"Mount Meron (Hebrew: הַר מֵירוֹן‎, Har Meron; Arabic: جبل الجرمق‎, Jabal al-Jarmaq) is a mountain in the Upper Galilee region of Israel.",https://en.wikipedia.org/wiki/Mount_Meron
Q30,3434750,United States,"The United States of America (USA), commonly known as the United States (U.S. or US) or America, is a country primarily located in North America.",https://en.wikipedia.org/wiki/United_States
Q499535,2144178,U.S. Marshals (film),U.S.,https://en.wikipedia.org/wiki/U.S._Marshals_(film)
Q604547,9401851,Qeshm International Airport,"Qeshm International Airport (IATA: GSM, ICAO: OIKQ) (Persian: فرودگاه بين المللي قشم‎) is an international airport near the village of Dayrestan, roughly in the centre of Qeshm Island, off the south coast of Iran.",https://en.wikipedia.org/wiki/Qeshm_International_Airport
Q240719,2252168,Qeshm Island,"Qeshm (Persian: قشم‎, Persian pronunciation: [ɢeʃm]) is an arrow-shaped Iranian island in the Strait of Hormuz, separated from the mainland by the Clarence Strait/Khuran in the Persian Gulf (26°50′N 56°0′E).",https://en.wikipedia.org/wiki/Qeshm_Island
Q3412468,1284929,Qeshm Air,"Qeshm Air (Persian: هواپیمایی قشم‎) is an Iranian airline; it has its headquarters in Tehran, Iran and operates scheduled domestic and international passenger services as well as charter flights.",https://en.wikipedia.org/wiki/Qeshm_Air
Q147736,1539571,"Zarand, Iran","Zarand (Persian: زرند‎) is a city and capital of Zarand County, Kerman Province, Iran.","https://en.wikipedia.org/wiki/Zarand,_Iran"
Q364,18545292,GitHub,"GitHub, Inc. is a provider of Internet hosting for software development and version control using Git.",https://en.wikipedia.org/wiki/GitHub
Q4434711,23028629,List of Intel Core i5 processors,The following is a list of Intel Core i5 brand microprocessors.,https://en.wikipedia.org/wiki/List_of_Intel_Core_i5_processors
Q868286,24164712,List of Intel Core i3 processors,The following is a list of Intel Core i3 brand microprocessors.,https://en.wikipedia.org/wiki/List_of_Intel_Core_i3_processors
Q654073,4905590,Walt Disney Television,Walt Disney Television is an American company that oversees television content and assets owned and operated by The Walt Disney Company.,https://en.wikipedia.org/wiki/Walt_Disney_Television
Q287218,945427,ABC Signature,ABC Signature is an American television production studio under the Disney Television Studios unit of Walt Disney Television that was named in 2020 (both ultimately owned by The Walt Disney Company).,https://en.wikipedia.org/wiki/ABC_Signature
Q287149,49078681,Freeform (TV channel),"Freeform is an American multinational basic cable channel owned by the ABC Family Worldwide subsidiary of Walt Disney Television, a subsidiary of the Walt Disney Company.",https://en.wikipedia.org/wiki/Freeform_(TV_channel)
Q41254,44635,Grammy Award,"The Grammy Award (stylized as GRAMMY, originally called Gramophone Award), or just Grammy, is an award presented by the Recording Academy to recognize achievements in the music industry.",https://en.wikipedia.org/wiki/Grammy_Award
Q65077171,60065734,62nd Annual Grammy Awards,"The 62nd Annual Grammy Awards ceremony was held on January 26, 2020, at the Staples Center in Los Angeles.",https://en.wikipedia.org/wiki/62nd_Annual_Grammy_Awards
Q795632,3432788,BBM (band),"BBM (""Baker Bruce Moore"") is the name of the short-lived power trio, formed in 1993 by long-established artists, bassist Jack Bruce, guitarist Gary Moore (both of whom had collaborated previously on Moore's Corridors of Power) and drummer Ginger Baker.",https://en.wikipedia.org/wiki/BBM_(band)
Q737835,159999,University of Tehran,"The University of Tehran (Tehran University or UT, Persian: دانشگاه تهران‎) is the oldest modern university located in Tehran, Iran.",https://en.wikipedia.org/wiki/University_of_Tehran
Q3616,57654,Tehran,Tehran (; Persian: تهران‎ Ťehrân [tehˈɾɒːn] (listen)) is the capital of Iran and Tehran Province.,https://en.wikipedia.org/wiki/Tehran
Q7694901,3977331,Tehran University of Medical Sciences,Tehran University of Medical Sciences (TUMS) (Persian: دانشگاه علوم پزشکی تهران‎) is the largest and most highly-ranked medical university of Iran.,https://en.wikipedia.org/wiki/Tehran_University_of_Medical_Sciences
Q16870842,38442197,Holley (surname),Holley is an English surname.,https://en.wikipedia.org/wiki/Holley_(surname)
Q5977,4408,Buddy Holly,"Charles Hardin Holley (September 7, 1936 – February 3, 1959), known professionally as Buddy Holly, was an American singer-songwriter who was a central and pioneering figure of mid-1950s rock and roll.",https://en.wikipedia.org/wiki/Buddy_Holly
Q1200690,905485,Access Hollywood,"Access Hollywood, formerly known as Access from 2017 to 2019, is an American weekday television entertainment news program that premiered on September 9, 1996.",https://en.wikipedia.org/wiki/Access_Hollywood
Q27163007,51909982,Donald Trump Access Hollywood tape,"On October 7, 2016, during the 2016 United States presidential election, The Washington Post published a video and accompanying article about then-presidential candidate Donald Trump and television host Billy Bush having ""an extremely lewd conversation about women"" in 2005.",https://en.wikipedia.org/wiki/Donald_Trump_Access_Hollywood_tape
Q34006,53849,Hollywood,"Hollywood is a neighborhood in the central region of Los Angeles, California.",https://en.wikipedia.org/wiki/Hollywood
Q264326,4344815,Aliana Lohan,"Aliana Lohan (born December 22, 1993) is an American singer, actress, fashion model and television personality.",https://en.wikipedia.org/wiki/Aliana_Lohan
Q4267518,1998668,Michael Lohan,"Michael John Lohan (; born April 25, 1960) is an American television personality, best known as the father of actress Lindsay Lohan.",https://en.wikipedia.org/wiki/Michael_Lohan
Q714823,2174399,Tehran Metro,"The Tehran Metro (Persian: مترو تهران‎, romanized: Metro-ye Tehrān) is a rapid transit system serving Tehran, the capital of Iran.",https://en.wikipedia.org/wiki/Tehran_Metro
Q90389788,64313246,Tehran (TV series),"Tehran (Hebrew: טהרן‎, Persian: تهران‎) is an Israeli espionage thriller television series created by Moshe Zonder for the Israeli public channel Kan 11.",https://en.wikipedia.org/wiki/Tehran_(TV_series)
Q40464,471981,Agence France-Presse,"Agence France-Presse (AFP) is an international news agency headquartered in Paris, France.",https://en.wikipedia.org/wiki/Agence_France-Presse
Q438061,23448,Armed Forces of the Philippines,The Armed Forces of the Philippines (AFP) (Filipino: Sandatahang Lakas ng Pilipinas; Spanish: Fuerzas Armadas de Filipinas) are the military forces of the Philippines.,https://en.wikipedia.org/wiki/Armed_Forces_of_the_Philippines
Q5856319,34426928,Poshteh Jazayeri,"Poshteh Jazayeri (Persian: پشته جزايري‎, also Romanized as Poshteh Jazāyerī) is a village in Koregah-e Gharbi Rural District, in the Central District of Khorramabad County, Lorestan Province, Iran.",https://en.wikipedia.org/wiki/Poshteh_Jazayeri
Q2859361,1908727,Iranian Arabs,Iranian Arabs (Arabic: عرب إيران‎ ʿArab Īrān; Persian: عرب‌های ايران‎ Arabhāye Irān) refers to only 2 percent of Iran's citizens who are Arab.,https://en.wikipedia.org/wiki/Iranian_Arabs
Q23024137,64073550,List of members in the Fifth Term of the Council of Experts,The List of members from the fifth term of the Assembly of Experts.,https://en.wikipedia.org/wiki/List_of_members_in_the_Fifth_Term_of_the_Council_of_Experts
Q878,69328,United Arab Emirates,"The United Arab Emirates (UAE; Arabic: الإمارات العربية المتحدة al-ʾImārāt al-ʿArabīyah al-Muttaḥidah), sometimes simply called the Emirates (Arabic: الإمارات al-ʾImārāt), is a country in Western Asia located at the eastern end of the Arabian Peninsula.",https://en.wikipedia.org/wiki/United_Arab_Emirates
Q1761,8504,Dublin,"Dublin (, locally ; Irish: Baile Átha Cliath [ˈbˠalʲə aːhə ˈclʲiə; ˌbʲlʲaː ˈclʲiə]) is the capital and largest city of Ireland.",https://en.wikipedia.org/wiki/Dublin
Q12414166,36620051,A. C. N. Nambiar,Arathil Chandeth Narayanan Nambiar (1896 – 17 January 1986) was an Indian Nationalist and a friend and colleague of Subhas Chandra Bose.,https://en.wikipedia.org/wiki/A._C._N._Nambiar
Q12985315,41308885,Nenjam Marappathillai (1963 film),Nenjam Marappathillai (transl.,https://en.wikipedia.org/wiki/Nenjam_Marappathillai_(1963_film)
Q18349768,44083738,Aavesham,"Aavesham is a 1979 Indian Malayalam film,  directed by Vijayanand.",https://en.wikipedia.org/wiki/Aavesham
Q387047,107655,"Malibu, California","Malibu () (Spanish: Malibú) is a beach city in western Los Angeles County, California, situated about 30 miles (48 km) west of Downtown Los Angeles.","https://en.wikipedia.org/wiki/Malibu,_California"
Q287723,1039628,Chevrolet Malibu,The Chevrolet Malibu is a mid-size car manufactured and marketed by Chevrolet from 1964 to 1983 and since 1997.,https://en.wikipedia.org/wiki/Chevrolet_Malibu
Q102427,61702,Academy Award for Best Picture,The Academy Award for Best Picture is one of the Academy Awards presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted in 1929.,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture
Q832826,3578923,List of Academy Award-winning films,This is a list of Academy Award-winning films.,https://en.wikipedia.org/wiki/List_of_Academy_Award-winning_films
Q21013354,47900503,BlackBerry Priv,The BlackBerry Priv is a slider smartphone developed by BlackBerry Limited.,https://en.wikipedia.org/wiki/BlackBerry_Priv
Q169889,62027,American Broadcasting Company,"The American Broadcasting Company (ABC; stylized in lowercase as abc) is an American multinational commercial broadcast television network that is a flagship property of Walt Disney Television, a division of Disney General Entertainment Content of The Walt Disney Company.",https://en.wikipedia.org/wiki/American_Broadcasting_Company
Q4906538,1533841,Big Three television networks,"The Big Three television networks are the three major traditional commercial broadcast television networks in the United States: ABC (the American Broadcasting Company), CBS (the Columbia Broadcasting System), and NBC (the National Broadcasting Company).",https://en.wikipedia.org/wiki/Big_Three_television_networks
Q203071,26301345,Dvorak keyboard layout,"Dvorak  (listen) is a keyboard layout for English patented in 1936 by August Dvorak and his brother-in-law, William Dealey, as a faster and more ergonomic alternative to the QWERTY layout (the de facto standard keyboard layout).",https://en.wikipedia.org/wiki/Dvorak_keyboard_layout
Q154814,464348,Bandar Abbas,"Bandar Abbas or Bandar-e ‘Abbās (Persian: بندرعباس‎) is a port city and capital of Hormozgān Province on the southern coast of Iran, on the Persian Gulf.",https://en.wikipedia.org/wiki/Bandar_Abbas
Q2358345,9401476,Bandar Abbas International Airport,"Bandar Abbas International Airport (IATA: BND, ICAO: OIKB) (Persian: فرودگاه بین المللی بندرعباس‎) is an international airport located in 12 kilometers east of the city of Bandar Abbas, Hormozgan Province, in south of Iran.",https://en.wikipedia.org/wiki/Bandar_Abbas_International_Airport
Q649695,841314,Islamic Republic News Agency,"The Islamic Republic News Agency (Persian: خبرگزاری جمهوری اسلامی‎), or IRNA, is the official news agency of the Islamic Republic of Iran.",https://en.wikipedia.org/wiki/Islamic_Republic_News_Agency
Q2340742,644754,Irna Phillips,"Irna Phillips (July 1, 1901 – December 23, 1973) was an American scriptwriter, screenwriter, casting agent and actress.",https://en.wikipedia.org/wiki/Irna_Phillips
Q85876114,63175924,COVID-19 pandemic in Iran,The COVID-19 pandemic in Iran is part of the worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Iran
Q996189,14598,Demographics of India,India is the second most populated country in the world with nearly a fifth of the world's population.,https://en.wikipedia.org/wiki/Demographics_of_India
